Symbol 1,Symbol 2,APR,SHARPE,
KO,NKE,-0.0828655126371162,-0.516495994127191,-176.256520473684
PYPL,SBUX,-0.0824233312587685,-0.301703880128093,-155.73
NKE,PM,-0.0822815038381434,-0.472755155187602,-217.335066526316
MDT,PM,-0.0812182694495795,-0.617808722889372,-195.448897315789
AXP,QCOM,-0.080798944291887,-0.267706027015377,-289.727048421053
PYPL,ZTS,-0.0806913656363035,-0.297747010766569,-245.523684210526
PYPL,TMUS,-0.0795499795828419,-0.257016492720405,-212.10947368421
JPM,PYPL,-0.0791804460984116,-0.235675328005355,-202.857894736842
ADI,PYPL,-0.0779416699893687,-0.298937868006764,-237.29734
CVX,GE,-0.0774899974609249,-0.374158357489727,-240.718947368421
BKNG,CVX,-0.0765335458559276,-0.327175934096507,-2294.64578947368
AMZN,PYPL,-0.0763480908047337,-0.269051092275259,-193.9015
CVX,NKE,-0.0760078098377289,-0.3256310853876,-282.949803368421
CVX,MA,-0.0759835372493066,-0.360118050114517,-507.853157894737
DIS,VRTX,-0.0758042845307683,-0.286121448027069,-367.010526315789
BAC,PYPL,-0.0755409271379291,-0.201605649005515,-114.331076631579
NKE,NOC,-0.0754360690778894,-0.364046927679459,-579.096568631579
UNH,ZTS,-0.075154726845087,-0.631396478492893,-648.721592631579
CAT,PYPL,-0.0746135883354677,-0.172044728788298,-290.288421052632
MSFT,PYPL,-0.0738498110252701,-0.294937542157049,-340.742631578947
PM,WMT,-0.0736572589763266,-0.528750738703405,-225.791052631579
PG,UNH,-0.0736060944328837,-0.703096178512679,-624.816855789474
CVX,NFLX,-0.0735710407645104,-0.167366728857889,-355.338421052632
CME,DIS,-0.0734754323917903,-0.409989048931907,-302.877604210526
NOW,PYPL,-0.0731919281184901,-0.274793475653174,-551.735263157895
PYPL,TXN,-0.0730608902605233,-0.280806459353911,-242.986842105263
BAC,CVX,-0.0727126314065045,-0.445851253653458,-202.680550315789
ANTM,BLK,-0.0723721419135849,-0.476696373197236,-1118.59825578947
HON,PYPL,-0.0721559068508592,-0.227859128695003,-268.278947368421
BLK,NOC,-0.0715896642901273,-0.41583743993848,-1100.48606
BLK,VRTX,-0.0713697240280742,-0.333625735216477,-901.155084210526
ACN,PYPL,-0.0709795926567524,-0.252737307366059,-371.23947368421
LOW,NOC,-0.0703225110687106,-0.376144236087886,-651.002554736842
PM,TXN,-0.0700601916740666,-0.415840881484416,-265.721578947368
AAPL,PFE,-0.0697708087158564,-0.275395040973653,-192.03
ADBE,UNH,-0.0697220069299858,-0.365303342270529,-883.433697894737
SCHW,WFC,-0.0695551863805251,-0.440520350320201,-107.151578947368
AAPL,PM,-0.0693368392774745,-0.330446876568326,-243.845263157895
KO,TXN,-0.0688291145845031,-0.445782634029287,-224.643032894737
AMAT,WFC,-0.0688185304189056,-0.225242657179208,-147.355789473684
BLK,KO,-0.0688057888713435,-0.519288524574858,-697.646011842105
ADP,BLK,-0.0687403370758564,-0.549419694583436,-849.170591578947
CMCSA,PM,-0.0681958300958249,-0.471733988742169,-144.200526315789
DIS,IBM,-0.0674118430660448,-0.341330260962161,-240.191052631579
ADP,QCOM,-0.0669762562240584,-0.272139346808898,-346.46571368421
LOW,PFE,-0.0668011021040709,-0.297218802759451,-237.425789473684
AMD,NOC,-0.0666232180712858,-0.150256999493099,-559.342554736842
PFE,TMUS,-0.0665583337326019,-0.316606717299465,-183.028947368421
CVX,QCOM,-0.0663729668057445,-0.226950726347208,-301.634416842105
NOC,TXN,-0.066318455782466,-0.335517913575717,-627.483081052632
ISRG,VRTX,-0.0658888851780696,-0.308807163108227,-474.528421052632
NKE,VRTX,-0.0651413349117781,-0.297364138991326,-379.765592842105
BMY,NKE,-0.0650630716623144,-0.362507956222219,-189.877171789474
CRM,ORCL,-0.0646328078264332,-0.229408087768124,-243.181578947368
CRM,PM,-0.0646224302478704,-0.197964963168884,-275.955789473684
CMCSA,CME,-0.0645119871507022,-0.400988170807117,-242.498130526316
TXN,VRTX,-0.0644979608195094,-0.291624512456308,-428.152105263158
CME,UNH,-0.0641740807340717,-0.47288363767302,-684.207091578947
HD,UNH,-0.0628688210962922,-0.458029970169486,-773.080731052632
BLK,PYPL,-0.0626428647351642,-0.227090436559447,-715.989821052632
CMCSA,KO,-0.0625494938120499,-0.498098012094932,-103.121980263158
CVX,WMT,-0.0622581465397313,-0.305744022605994,-291.405789473684
DIS,RTX,-0.0622279301376317,-0.365775947257987,-196.342105263158
GILD,UNH,-0.0622233697343978,-0.44915977383081,-544.315096526316
BA,PYPL,-0.062096230346364,-0.123605897569104,-213.24947368421
GS,PYPL,-0.0619905028226241,-0.167616336194776,-383.358598421053
DHR,PYPL,-0.0617479092925556,-0.199082987105002,-334.792476842105
KO,UNH,-0.0615046456220741,-0.502460490737984,-544.830941315789
CMCSA,T,-0.0610317047093205,-0.463792278469412,-61.9926315789474
BMY,DIS,-0.0609150154504813,-0.316927602241195,-177.122105263158
ANTM,GE,-0.0606862157488305,-0.245255521132173,-554.977908421053
CAT,RTX,-0.0602973266584342,-0.423196121294037,-304.785263157895
CVX,XOM,-0.059736724025956,-0.737611464259956,-264.302105263158
NKE,T,-0.0594996601067225,-0.302656901036862,-135.127171789474
UNH,WMT,-0.0591524372084592,-0.434991178937958,-606.254224210526
BLK,CME,-0.0588481381616647,-0.421395264045275,-837.022162105263
CMCSA,NOC,-0.0582956504689139,-0.325644243978092,-505.962028421053
CVX,TMUS,-0.0576269515395592,-0.242508863503544,-300.458947368421
CVS,PG,-0.0574675742489419,-0.464511528210405,-235.258421052632
HD,PFE,-0.0574349468264574,-0.294535092823216,-340.802296315789
PLD,PYPL,-0.0573256970540137,-0.155450684248335,-199.635054368421
AXP,NKE,-0.0572254346296093,-0.229929502522356,-271.042434947368
